_u1.date,_u1.ticker,_u1.cik,_u1.open,_u1.high,_u1.low,_u1.close,_u1.adj_close,_u1.volume
2020-12-31,YUM,0001041061,108.73999786376953,109.18000030517578,107.37999725341797,108.55999755859375,102.31002044677734,1651700
2018-01-02,YUM,0001041061,82.1500015258789,82.45999908447266,81.4800033569336,81.5999984741211,72.93328857421875,1747800
2018-01-03,YUM,0001041061,81.2300033569336,81.81999969482422,81.12999725341797,81.52999877929688,72.87071228027344,2554900
2018-01-04,YUM,0001041061,81.75,82.58999633789062,81.52999877929688,82.36000061035156,73.61257934570312,1971200
2018-01-05,YUM,0001041061,82.58999633789062,83.01000213623047,82.36000061035156,82.83999633789062,74.04158782958984,1927100
2018-01-08,YUM,0001041061,82.72000122070312,83.05999755859375,82.12000274658203,82.9800033569336,74.16671752929688,1599400
2018-01-09,YUM,0001041061,83.06999969482422,83.16000366210938,82.2699966430664,82.76000213623047,73.9700927734375,1701000
2018-01-10,YUM,0001041061,82.8499984741211,82.8499984741211,82.20999908447266,82.55000305175781,73.78240203857422,887100
2018-01-11,YUM,0001041061,82.58000183105469,83.01000213623047,81.94000244140625,82.48999786376953,73.72877502441406,1352700
2018-01-12,YUM,0001041061,82.76000213623047,83.76000213623047,82.44999694824219,83.62000274658203,74.7387466430664,1377300
2018-01-16,YUM,0001041061,84.06999969482422,84.33999633789062,82.63999938964844,82.93000030517578,74.12202453613281,1391200
2018-01-17,YUM,0001041061,83.31999969482422,83.5199966430664,82.76000213623047,83.08999633789062,74.2650375366211,1678500
2018-01-18,YUM,0001041061,83.18000030517578,83.43000030517578,82.93000030517578,83.0999984741211,74.27397918701172,1015200
2018-01-19,YUM,0001041061,83.43000030517578,83.91000366210938,83.33999633789062,83.80999755859375,74.90856170654297,1677700
2018-01-22,YUM,0001041061,83.80999755859375,84.91999816894531,83.66999816894531,84.91000366210938,75.89173889160156,1469300
2018-01-23,YUM,0001041061,84.72000122070312,86.33999633789062,84.66000366210938,85.83999633789062,76.72293853759766,2010100
2018-01-24,YUM,0001041061,85.97000122070312,86.0999984741211,84.94999694824219,85.23999786376953,76.18669128417969,1192900
